Tile ID,Name,Material,Size (cm),Color,Finish,Price ($)
001,Sandstone Ocean,Concrete,15x90,Black,Polished,81.02
002,Limestone Desert,Limestone,60x60,Beige,Glossy,76.33
003,Slate Marble,Porcelain,40x40,Brown,Polished,22.64
004,Limestone Sandstone,Marble,50x50,White,Polished,74.6
005,Granite Plank,Concrete,30x30,Beige,Antique,77.95
006,Limestone Granite,Porcelain,60x60,Brown,Brushed,72.9
007,Slate Ocean,Slate,20x20,Walnut,Matte,97.47
008,Sandstone Classic,Granite,45x45,Gold,Glossy,84.16
009,Granite Elegance,Slate,45x45,Gold,Antique,85.04
010,Terracotta Rustic,Limestone,80x80,Red,Textured,84.41
011,Mosaic Green,Mosaic,25x25,Black,Brushed,54.47
012,Mosaic Marble,Slate,30x30,White,Satin,83.96
013,Concrete Green,Terracotta,75x75,Blue,Polished,49.48
014,Porcelain Plank,Slate,25x25,Black,Satin,63.82
015,Marble Concrete,Concrete,75x75,Red,Brushed,78.56
016,Porcelain Plank,Sandstone,45x45,Black,Textured,45.11
017,Marble Black,Limestone,15x90,Beige,Brushed,90.78
018,Slate Classic,Ceramic,40x40,Gold,Textured,67.66
019,Granite Green,Granite,15x90,Blue,Polished,24.18
020,Concrete White,Terracotta,25x25,Green,Textured,67.59
021,Concrete Granite,Limestone,80x80,Gray,Rough,33.99
022,Porcelain Classic,Terracotta,30x30,Walnut,Textured,53.08
023,Porcelain White,Sandstone,80x80,Black,Satin,39.05
024,Granite Black,Porcelain,15x90,Black,Matte,44.96
025,Limestone Desert,Limestone,60x60,Blue,Brushed,49.2
026,Porcelain Mosaic,Porcelain,20x20,Beige,Glossy,50.45
027,Ceramic Concrete,Marble,75x75,Gold,Textured,36.35
028,Granite Green,Porcelain,45x45,White,Polished,85.95
029,Granite Concrete,Limestone,20x20,Walnut,Matte,74.97
030,Slate Desert,Ceramic,25x25,Green,Rough,80.81
031,Concrete Desert,Porcelain,40x40,Red,Antique,83.07
032,Concrete Granite,Mosaic,30x30,Brown,Antique,80.75
033,Porcelain Ocean,Ceramic,15x90,Blue,Brushed,60.16
034,Mosaic Mosaic,Terracotta,40x40,Gold,Brushed,67.42
035,Limestone Urban,Granite,30x30,Gray,Rough,31.63
036,Sandstone Granite,Marble,80x80,Walnut,Satin,63.61
037,Ceramic Concrete,Porcelain,15x90,White,Antique,57.12
038,Limestone Granite,Slate,75x75,Brown,Satin,97.83
039,Marble Plank,Sandstone,60x60,Beige,Polished,35.23
040,Granite Marble,Porcelain,25x25,Beige,Brushed,56.79
041,Slate Desert,Granite,80x80,Black,Rough,37.05
042,Slate Classic,Porcelain,50x50,Green,Matte,50.56
043,Ceramic Slate,Ceramic,20x20,Red,Brushed,70.92
044,Slate Green,Porcelain,50x50,Gray,Antique,40.24
045,Ceramic Classic,Ceramic,40x40,Blue,Antique,50.97
046,Ceramic Black,Porcelain,50x50,Walnut,Glossy,34.18
047,Mosaic Ocean,Ceramic,75x75,Gray,Matte,97.22
048,Limestone Plank,Porcelain,20x20,Gray,Polished,75.18
049,Marble Marble,Sandstone,80x80,Gold,Matte,82.06
050,Marble Forest,Terracotta,50x50,Blue,Brushed,81.28
051,Slate Golden,Marble,60x60,Black,Brushed,70.38
052,Granite Midnight,Terracotta,60x60,Red,Brushed,60.1
053,Marble White,Terracotta,60x60,Black,Glossy,31.62
054,Marble Granite,Ceramic,50x50,Gold,Brushed,45.87
055,Limestone Urban,Porcelain,80x80,Blue,Glossy,63.31
056,Marble Midnight,Mosaic,50x50,Brown,Textured,42.24
057,Limestone Marble,Terracotta,30x30,Beige,Textured,53.95
058,Slate Black,Sandstone,20x20,Gray,Matte,62.94
059,Limestone Midnight,Sandstone,50x50,Gold,Matte,34.8
060,Concrete Elegance,Porcelain,50x50,Brown,Brushed,52.08
061,Concrete Golden,Slate,20x20,Walnut,Textured,57.55
062,Sandstone Concrete,Concrete,15x90,Beige,Satin,86.69
063,Slate Slate,Slate,25x25,Beige,Matte,99.46
064,Marble Blue,Sandstone,25x25,Gray,Satin,60.62
065,Slate Blue,Marble,75x75,Brown,Glossy,46.01
066,Terracotta Classic,Sandstone,25x25,Green,Brushed,55.93
067,Mosaic Sandstone,Slate,25x25,Blue,Antique,55.89
068,Ceramic Mosaic,Marble,20x20,Walnut,Brushed,58.42
069,Terracotta Midnight,Porcelain,45x45,White,Rough,78.03
070,Slate Sandstone,Granite,30x30,Gold,Antique,33.4
071,Terracotta Green,Ceramic,80x80,Blue,Brushed,27.2
072,Mosaic Classic,Slate,15x90,Gold,Rough,63.54
073,Terracotta Urban,Sandstone,30x30,Beige,Matte,29.5
074,Terracotta Slate,Terracotta,15x90,Green,Brushed,40.84
075,Granite Rustic,Mosaic,80x80,Green,Glossy,31.73
076,Slate Classic,Limestone,50x50,Gray,Rough,47.98
077,Mosaic Ocean,Slate,25x25,Green,Glossy,46.04
078,Marble Forest,Ceramic,25x25,Blue,Polished,99.74
079,Mosaic Marble,Sandstone,60x60,Black,Matte,50.75
080,Mosaic Green,Terracotta,15x90,Green,Matte,86.04
081,Ceramic Black,Limestone,75x75,White,Rough,50.74
082,Granite Slate,Granite,75x75,Walnut,Antique,87.5
083,Limestone Concrete,Marble,25x25,Red,Textured,88.1
084,Mosaic Granite,Terracotta,25x25,Blue,Matte,65.15
085,Slate Black,Slate,30x30,Brown,Matte,91.47
086,Porcelain Sandstone,Slate,30x30,Red,Matte,69.41
087,Slate Slate,Concrete,60x60,Gray,Matte,40.59
088,Concrete Granite,Sandstone,75x75,Beige,Rough,60.66
089,Sandstone Marble,Granite,75x75,Green,Rough,72.31
090,Porcelain Rustic,Ceramic,25x25,Gray,Antique,52.21
091,Ceramic Urban,Sandstone,75x75,Beige,Brushed,22.1
092,Terracotta Sandstone,Porcelain,40x40,Walnut,Satin,48.79
093,Granite Elegance,Limestone,20x20,Beige,Glossy,51.7
